annotated_form_rank,model,normalised_annotated_text,distinct_annotations,affected_documents,affected_archives,affected_reviewers,example_surface_forms,example_documents,archives,reviewers,most_common_error_category,most_common_subrule,most_common_rule_assignments,all_rule_assignments,cross_context_prompt_candidate,display_label
65,Llama 3.3 70B · 12 000 TPM,lo,5,4,4,3,lo,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02 | BnF_118_08 | utblac_wbs_0912a_duplicated | BnF_110_09,agn_hospjesus | bnf_118 | utblac_wbs | bnf_110,Paco | Arturo | Alba,Cambios,Sustitución,3,Cambios — Sustitución | Cambios — Inserción,True,lo
66,GPT OSS 120B · 8 000 TPM,para,5,4,4,4,para | Para,AGS_CE_RG_L379_01 | BnF_116_02 | AGN_AHHacienda_v268_exp046_01 | AGN_GralParte_v006_exp617_01,ags_ce | bnf_116 | agn_ahhacienda | agn_gralparte,Javier | Paco | Adriana | Rodrigo,Cambios,Otros,3,Cambios — Otros | Abreviaturas — Expansión completa | Filológicas - instrucciones — x sibilante → j | Puntuación — Punto (.),True,para
67,GPT OSS 120B · 8 000 TPM,por,5,4,4,3,por | Por,AGI_PATRONATO_182_R3_04 | BnF_116_02 | AGN_Indios_v009_exp003_fs4v-5_01 | AGN_GralParte_v006_exp617_01,agi_patronato | bnf_116 | agn_indios | agn_gralparte,Paco | Arturo | Rodrigo,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa | Cambios — No sub-rule assigned | Cambios — Otros | Cambios — Inserción | Puntuación — No sub-rule assigned,True,por
68,GPT OSS 120B · 8 000 TPM,se,5,4,4,3,se,AGN_Mercedes_v003_exp520 | AGN_RealesCedDup_v050_exp062 | AMP_AC_v021__doc026_1 | BnF_030_27,agn_mercedes | agn_realesceddup | amp_ac | bnf_030,Alba | Paloma | Rodrigo,Cambios,Sustitución,3,Cambios — Sustitución | Cambios — Inserción | Acentuación — No sub-rule assigned,True,se
69,GPT OSS 120B · 8 000 TPM,yndios,5,4,4,4,yndios | Yndios,BnF_112_25 | AGN_Indios_v019_exp354_2 | BnF_113_22 | BnF_111_20,bnf_112 | agn_indios | bnf_113 | bnf_111,Paco | Alba | Paloma | Flor,Filológicas - instrucciones,Regularización de i/y vocálicas,4,Filológicas - instrucciones — Regularización de i/y vocálicas | Filológicas - instrucciones — No sub-rule assigned,True,yndios
70,Llama 3.3 70B · 12 000 TPM,agora,5,3,3,2,agora,BnF_118_08 | LoC_HPKraus_138_new_07 | utblac_JGI_XXV-05_Tequixquiac_25,bnf_118 | loc_hpkraus | utblac_jgi,Arturo | Edna,Filológicas - instrucciones,Regularización de H etimológica,4,Filológicas - instrucciones — Regularización de H etimológica | Cambios — Sustitución,True,agora
71,GPT OSS 120B · 8 000 TPM,españa,5,3,2,3,España,AGI_PATRONATO_182_R3_04 | AGN_Mercedes_v003_exp520 | AGI_PATRONATO_181_R13_1,agi_patronato | agn_mercedes,Paco | Alba | Paloma,Cambios,Deleción,4,Cambios — Deleción | Cambios — Inserción | Filológicas - mecánicas — Regularización de sibilantes,True,españa
72,Llama 3.3 70B · 12 000 TPM,justa,5,3,2,3,justa,BnF_110_13 | BnF_117_08 | BnF_110_29,bnf_110 | bnf_117,Adriana | Edna | Paloma,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,justa
73,Llama 3.3 70B · 12 000 TPM,la,5,3,3,3,la,BnF_117_08 | BnF_394_10 | AGI_INDIFERENTE_1529_N36_07,bnf_117 | bnf_394 | agi_indiferente,Edna | Flor | Rodrigo,Cambios,Deleción,3,Cambios — Deleción | Abreviaturas — No sub-rule assigned | Cambios — Inserción | Cambios — Sustitución,True,la
74,Llama 3.3 70B · 12 000 TPM,que es,5,3,3,3,que es,BnF_032_33 | UIA_Ms149_Exp2_51 | AGI_INDIFERENTE_1529_N8_06,bnf_032 | uia_ms149 | agi_indiferente,Adriana | Arturo | Rodrigo,Cambios,Inserción,3,"Cambios — Inserción | Abreviaturas — Excepciones (desto/a/os, dello/a/os) | Cambios — Sustitución",True,que es
75,GPT OSS 120B · 8 000 TPM,ao,5,2,2,2,ao,BnF_032_36 | AGN_AHHacienda_v268_exp046_01,bnf_032 | agn_ahhacienda,Paco | Adriana,Abreviaturas,Expansión completa,5,Abreviaturas — Expansión completa,True,ao
76,Llama 3.3 70B · 12 000 TPM,ba,5,2,2,2,Ba | ba,AGN_Inquisicion_v1568A_exp152_fs115-116v_03 | AGN_Marina_v031A_exp02_fs85-92_11,agn_inquisicion | agn_marina,Javier | Adriana,Filológicas - instrucciones,Regularización de labiales (b/v),4,Filológicas - instrucciones — Regularización de labiales (b/v) | Abreviaturas — Expansión completa,True,ba
77,GPT OSS 120B · 8 000 TPM,de la,5,2,2,2,de la,AGN_Mercedes_v003_exp520 | AGN_Indios_v002_exp835,agn_mercedes | agn_indios,Alba | Paloma,Acentuación,No sub-rule assigned,3,Acentuación — No sub-rule assigned | Cambios — No sub-rule assigned | Cambios — Sustitución,True,de la
78,GPT OSS 120B · 8 000 TPM,quiso,5,2,2,2,quiso,AGN_Tierras_v039-2_exp003_72 | BnF_111_20,agn_tierras | bnf_111,Edna | Flor,Cambios,Sustitución,5,Cambios — Sustitución | Abreviaturas — Expansión completa,True,quiso
79,GPT OSS 120B · 8 000 TPM,rl,5,2,2,2,Rl | RL,AGN_AHHacienda_v268_exp046_01 | AGN_Indios_v019_exp354_2,agn_ahhacienda | agn_indios,Adriana | Alba,Abreviaturas,Expansión completa,5,Abreviaturas — Expansión completa,True,rl
80,GPT OSS 120B · 8 000 TPM,aos,4,4,3,4,aos,AGN_AHHacienda_v1292_exp135 | AGN_AHHacienda_v268_exp046_01 | AGN_Indios_v019_exp354_2 | AGN_GralParte_v006_exp617_01,agn_ahhacienda | agn_indios | agn_gralparte,Javier | Adriana | Alba | Rodrigo,Abreviaturas,Expansión completa,4,Abreviaturas — Expansión completa,True,aos
81,Llama 3.3 70B · 12 000 TPM,los,4,4,4,3,los,BnF_032_23 | UIA_Ms149_Exp2_51 | AMP_AC_v021__doc026_2 | BnF_117_15,bnf_032 | uia_ms149 | amp_ac | bnf_117,Arturo | Alba | Flor,Cambios,Inserción,3,Cambios — Inserción | Abreviaturas — Expansión completa,True,los
82,Llama 3.3 70B · 12 000 TPM,sor,4,4,4,4,Sor | sor,BnF_174_02 | BnF_117_13 | BnF_118_06 | BnF_113_25,bnf_174 | bnf_117 | bnf_118 | bnf_113,Javier | Paco | Edna | Flor,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,sor
83,GPT OSS 120B · 8 000 TPM,tos,4,4,3,2,tos,BnF_032_36 | BnF_104_2 | BnF_113_04 | BnF_113_22,bnf_032 | bnf_104 | bnf_113,Paco | Paloma,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,tos
84,Llama 3.3 70B · 12 000 TPM,anto,4,3,3,3,Anto,AGI_CONTRATACION_1089_N8_151 | AGN_HospJesus_c205_exp041_04 | BnF_243_16,agi_contratacion | agn_hospjesus | bnf_243,Paco | Flor | Rodrigo,Abreviaturas,Expansión completa,4,Abreviaturas — Expansión completa,True,anto
85,GPT OSS 120B · 8 000 TPM,aver,4,3,2,3,aver,BnF_112_02 | BnF_112_23 | BnF_111_20,bnf_112 | bnf_111,Arturo | Edna | Flor,Filológicas - instrucciones,Regularización de H etimológica,4,Filológicas - instrucciones — Regularización de H etimológica | Filológicas - instrucciones — Regularización de labiales (b/v),True,aver
86,GPT OSS 120B · 8 000 TPM,das,4,3,3,3,das,AGI_PATRONATO_182_R3_04 | BnF_112_02 | BnF_030_21,agi_patronato | bnf_112 | bnf_030,Paco | Arturo | Edna,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa | Cambios — Sustitución | Cambios — Deleción,True,das
87,Llama 3.3 70B · 12 000 TPM,de ellas,4,3,3,2,de ellas,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10 | BnF_118_08 | BnF_112_08,agn_hospjesus | bnf_118 | bnf_112,Arturo | Paloma,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",4,"Abreviaturas — Excepciones (desto/a/os, dello/a/os)",True,de ellas
88,Llama 3.3 70B · 12 000 TPM,de la,4,3,3,3,de la,BnF_266_07 | BnF_119-148_33 | AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05,bnf_266 | bnf_119-148 | agn_hospjesus,Paco | Paloma | Rodrigo,Cambios,Inserción,4,Cambios — Inserción,True,de la
89,Llama 3.3 70B · 12 000 TPM,declaro,4,3,3,3,declaro,BnF_075_026 | AGI_CONTRATACION_1089_N8_176 | AGN_GralParte_v006_exp617_02,bnf_075 | agi_contratacion | agn_gralparte,Arturo | Flor | Rodrigo,Acentuación,No sub-rule assigned,4,Acentuación — No sub-rule assigned,True,declaro
90,Llama 3.3 70B · 12 000 TPM,della,4,3,3,2,della,BNE_ms3047_3 | AMP_AC_v021__doc026_2 | BnF_111_27,bne_ms3047 | amp_ac | bnf_111,Javier | Alba,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",4,"Abreviaturas — Excepciones (desto/a/os, dello/a/os)",True,della
91,GPT OSS 120B · 8 000 TPM,dio,4,3,3,3,dio,BnF_116_02 | BnF_112_02 | BnF_075_014,bnf_116 | bnf_112 | bnf_075,Paco | Arturo | Alba,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa | Acentuación — No sub-rule assigned,True,dio
92,GPT OSS 120B · 8 000 TPM,juo,4,3,3,3,Juo | juo,BNE_ms3047_4 | AGN_Mercedes_v003_exp520 | AGN_GralParte_v006_exp617_01,bne_ms3047 | agn_mercedes | agn_gralparte,Javier | Alba | Rodrigo,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,juo
93,Llama 3.3 70B · 12 000 TPM,las,4,3,3,2,Las | las,AGN_AHHacienda_v268_exp046_03 | BnF_119-148_33 | BnF_264_02,agn_ahhacienda | bnf_119-148 | bnf_264,Arturo | Paloma,Cambios,Inserción,3,Cambios — Inserción | Puntuación — No sub-rule assigned,True,las
94,Llama 3.3 70B · 12 000 TPM,mucha,4,3,3,2,mucha,BP_CM_R481_071_2 | BnF_264_03 | AGN_Inquisicion_v1568A_exp152_fs115-116v_01,bp_cm | bnf_264 | agn_inquisicion,Adriana | Rodrigo,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa | Cambios — Deleción | Cambios — Sustitución,True,mucha
95,GPT OSS 120B · 8 000 TPM,relacion,4,3,3,3,Relacion | relacion,BnF_112_23 | AGN_Indios_v019_exp354_2 | AGN_GralParte_v006_exp617_01,bnf_112 | agn_indios | agn_gralparte,Edna | Alba | Rodrigo,Acentuación,No sub-rule assigned,4,Acentuación — No sub-rule assigned,True,relacion
96,Llama 3.3 70B · 12 000 TPM,virrey,4,3,3,2,Virrey | virrey,BnF_119-148_18 | UIA_Ms149_Exp2_51 | utblac_JGI_XXIII-13_Atlatlauhca_03,bnf_119-148 | uia_ms149 | utblac_jgi,Arturo | Flor,Cambios,Otros,2,Cambios — Otros | Cambios — Inserción | Cambios — Sustitución,True,virrey
97,Llama 3.3 70B · 12 000 TPM,escribo,4,2,2,2,escribo,AGI_INDIFERENTE_2065_N45_11 | BnF_032_39,agi_indiferente | bnf_032,Alba | Paloma,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,escribo
98,Llama 3.3 70B · 12 000 TPM,firme,4,2,2,2,firme,AGN_Tierras_v039-2_exp003_41 | BnF_243_16,agn_tierras | bnf_243,Flor | Rodrigo,Acentuación,No sub-rule assigned,4,Acentuación — No sub-rule assigned,True,firme
99,Llama 3.3 70B · 12 000 TPM,ha,4,2,2,2,ha,AGN_Marina_v031A_exp02_fs85-92_15 | BnF_119-148_33,agn_marina | bnf_119-148,Paco | Paloma,Cambios,Inserción,3,Cambios — Inserción | Cambios — Sustitución,True,ha
100,GPT OSS 120B · 8 000 TPM,miguel,4,2,2,2,Miguel | miguel,BnF_113_04 | AGN_GralParte_v006_exp617_01,bnf_113 | agn_gralparte,Paco | Rodrigo,Cambios,No sub-rule assigned,3,Cambios — No sub-rule assigned | Cambios — Otros | Cambios — Sustitución,True,miguel
101,GPT OSS 120B · 8 000 TPM,myguel,4,2,2,2,myguel,BnF_113_22 | BnF_111_20,bnf_113 | bnf_111,Paloma | Flor,Filológicas - instrucciones,Regularización de i/y vocálicas,4,Filológicas - instrucciones — Regularización de i/y vocálicas,True,myguel
102,GPT OSS 120B · 8 000 TPM,que,4,2,2,2,que,BnF_112_02 | AGN_Marina_v002_exp024_005,bnf_112 | agn_marina,Arturo | Flor,Abreviaturas,No sub-rule assigned,3,Abreviaturas — No sub-rule assigned | Cambios — Deleción | Cambios — Sustitución,True,que
103,GPT OSS 120B · 8 000 TPM,rio,4,2,2,2,rio,BnF_112_23 | AGI_PATRONATO_182_R3_01,bnf_112 | agi_patronato,Edna | Alba,Acentuación,No sub-rule assigned,3,"Acentuación — No sub-rule assigned | Puntuación — Coma (,)",True,rio
104,Llama 3.3 70B · 12 000 TPM,como,3,3,3,2,como,BnF_174_03 | UIA_Ms149_Exp2_51 | BnF_110_09,bnf_174 | uia_ms149 | bnf_110,Arturo | Alba,Acentuación,No sub-rule assigned,3,Acentuación — No sub-rule assigned,True,como
105,GPT OSS 120B · 8 000 TPM,con,3,3,3,2,con,BnF_112_25 | BnF_113_04 | AGI_GUADALAJARA_230_L2_F_45V-46V_2,bnf_112 | bnf_113 | agi_guadalajara,Paco | Adriana,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Inserción | Filológicas - mecánicas — Regularización de nasales ante labial,True,con
106,Llama 3.3 70B · 12 000 TPM,d.,3,3,3,2,D.,AGN_AHHacienda_v268_exp046_03 | BnF_119-148_18 | BnF_244_02,agn_ahhacienda | bnf_119-148 | bnf_244,Arturo | Alba,Abreviaturas,Expansión completa,2,Abreviaturas — Expansión completa | Abreviaturas — No sub-rule assigned,True,d.
107,Llama 3.3 70B · 12 000 TPM,hecho,3,3,3,3,hecho,Mechoacan_Yurirapundaro_2 | BnF_112_08 | BnF_394_10,mechoacan_yurirapundaro | bnf_112 | bnf_394,Arturo | Paloma | Flor,Cambios,Sustitución,3,Cambios — Sustitución | Cambios — Deleción,True,hecho
108,Llama 3.3 70B · 12 000 TPM,josé,3,3,3,3,José,AGN_Inquisicion_v1570A_exp134_fs159-160v_02 | AGN_AHHacienda_v268_exp046_03 | BnF_113_25,agn_inquisicion | agn_ahhacienda | bnf_113,Adriana | Arturo | Flor,Cambios,Sustitución,2,Cambios — Sustitución | Cambios — Deleción,True,josé
109,GPT OSS 120B · 8 000 TPM,mo,3,3,3,2,mo | Mo,AGI_CONTRATACION_1091_N3_098 | AGN_AHHacienda_v1292_exp135 | BNE_ms3047_1,agi_contratacion | agn_ahhacienda | bne_ms3047,Javier | Rodrigo,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,True,mo
110,GPT OSS 120B · 8 000 TPM,myll,3,3,3,3,myll,BnF_113_04 | BnF_112_23 | AGI_PATRONATO_182_R3_01,bnf_113 | bnf_112 | agi_patronato,Paco | Edna | Alba,Filológicas - instrucciones,Regularización de i/y vocálicas,2,Filológicas - instrucciones — Regularización de i/y vocálicas | Filológicas - mecánicas — Simplificación de grupos vocálicos | Filológicas - instrucciones — No sub-rule assigned | Filológicas - mecánicas — No sub-rule assigned,True,myll
111,GPT OSS 120B · 8 000 TPM,nra,3,3,3,3,nra,AGI_GUADALAJARA_230_L2_F_45V-46V_2 | AGI_PATRONATO_182_R3_01 | BNE_ms3047_1,agi_guadalajara | agi_patronato | bne_ms3047,Adriana | Alba | Rodrigo,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,True,nra
112,GPT OSS 120B · 8 000 TPM,nro,3,3,3,2,nro,BnF_113_04 | BnF_116_02 | BnF_112_04,bnf_113 | bnf_116 | bnf_112,Paco | Paloma,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,True,nro
113,Llama 3.3 70B · 12 000 TPM,renuncia,3,3,3,3,renuncia,LoC_HPKraus_146_new_13 | AGN_AHHacienda_v268_exp046_02 | AGN_IndiferenteVirreinal_caja4071_exp024_1,loc_hpkraus | agn_ahhacienda | agn_indiferentevirreinal,Paco | Paloma | Rodrigo,Cambios,Sustitución,2,Cambios — Sustitución | Abreviaturas — Expansión completa,True,renuncia
114,GPT OSS 120B · 8 000 TPM,su,3,3,3,3,su | Su,BnF_116_02 | BnF_112_04 | BNE_ms3047_1,bnf_116 | bnf_112 | bne_ms3047,Paco | Paloma | Rodrigo,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Cambios — Deleción | Cambios — Otros | Cambios — Sustitución | Puntuación — No sub-rule assigned,True,su
115,Llama 3.3 70B · 12 000 TPM,trato,3,3,2,3,trato | Trato,BnF_110_13 | BnF_110_33 | BnF_264_02,bnf_110 | bnf_264,Adriana | Alba | Paloma,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Acentuación — No sub-rule assigned | Cambios — Sustitución,True,trato
116,Llama 3.3 70B · 12 000 TPM,veintisiete,3,3,3,3,veintisiete,BnF_030_22 | AGN_Indios_v009_exp002_fs3v-4_01 | utblac_wbs_1433_duplicated_1,bnf_030 | agn_indios | utblac_wbs,Paco | Arturo | Rodrigo,Cambios,Deleción,2,Cambios — Deleción | Cambios — Sustitución,True,veintisiete
117,GPT OSS 120B · 8 000 TPM,él,3,3,3,3,él,AGI_PATRONATO_182_R3_04 | AGN_Indios_v002_exp835 | AGI_INDIFERENTE_2065_N45_09,agi_patronato | agn_indios | agi_indiferente,Paco | Paloma | Rodrigo,Cambios,Sustitución,3,Cambios — Sustitución,True,él
118,GPT OSS 120B · 8 000 TPM,al,3,2,2,2,al,BnF_075_014 | AGI_INDIFERENTE_2065_N45_09,bnf_075 | agi_indiferente,Alba | Rodrigo,Cambios,Deleción,2,Cambios — Deleción | Abreviaturas — No sub-rule assigned,True,al
119,Llama 3.3 70B · 12 000 TPM,al,3,2,2,2,al,BnF_266_07 | AGN_GralParte_v001_exp1020_01,bnf_266 | agn_gralparte,Paco | Paloma,Cambios,Deleción,3,Cambios — Deleción,True,al
120,GPT OSS 120B · 8 000 TPM,alguaziles,3,2,2,2,alguaziles,BnF_112_25 | BnF_111_20,bnf_112 | bnf_111,Paco | Flor,Abreviaturas,Expansión completa,1,Abreviaturas — Expansión completa | Filológicas - mecánicas — No sub-rule assigned | Filológicas - mecánicas — Regularización de sibilantes,True,alguaziles
121,GPT OSS 120B · 8 000 TPM,allá,3,2,2,2,allá,AGN_Tierras_v039-2_exp003_72 | AGI_INDIFERENTE_2065_N45_09,agn_tierras | agi_indiferente,Edna | Rodrigo,Cambios,Sustitución,3,Cambios — Sustitución | Abreviaturas — Expansión completa,True,allá
122,GPT OSS 120B · 8 000 TPM,alta,3,2,2,2,alta,AGI_GUADALAJARA_230_L2_F_45V-46V_1 | AMP_AC_v021__doc026_1,agi_guadalajara | amp_ac,Edna | Rodrigo,Abreviaturas,No sub-rule assigned,2,Abreviaturas — No sub-rule assigned | Cambios — Sustitución | Abreviaturas — Expansión completa,True,alta
123,GPT OSS 120B · 8 000 TPM,anto,3,2,2,2,anto,BnF_104_2 | AGN_GralParte_v006_exp617_01,bnf_104 | agn_gralparte,Paco | Rodrigo,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,True,anto
124,GPT OSS 120B · 8 000 TPM,audía,3,2,2,2,audía,BnF_116_02 | AGI_GUADALAJARA_230_L2_F_45V-46V_2,bnf_116 | agi_guadalajara,Paco | Adriana,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,True,audía
125,Llama 3.3 70B · 12 000 TPM,aver,3,2,2,2,aver,BnF_112_08 | AGN_Tierras_v039-2_exp003_41,bnf_112 | agn_tierras,Paloma | Flor,Filológicas - instrucciones,Regularización de labiales (b/v),3,Filológicas - instrucciones — Regularización de labiales (b/v) | Filológicas - instrucciones — Regularización de H etimológica,True,aver
126,Llama 3.3 70B · 12 000 TPM,baras,3,2,2,2,baras,AGI_CONTRATACION_1089_N8_151 | AGS_CE_RG_L379_05,agi_contratacion | ags_ce,Paco | Flor,Filológicas - instrucciones,Regularización de labiales (b/v),2,Filológicas - instrucciones — Regularización de labiales (b/v) | Filológicas - instrucciones — No sub-rule assigned,True,baras
127,GPT OSS 120B · 8 000 TPM,ciud,3,2,2,2,ciud | Ciud,BNE_ms3047_4 | AGN_RealesCedDup_v050_exp062,bne_ms3047 | agn_realesceddup,Javier | Paloma,Abreviaturas,Expansión completa,3,Abreviaturas — Expansión completa,True,ciud
128,Llama 3.3 70B · 12 000 TPM,ciudad,3,2,2,2,ciudad,BnF_032_39 | BnF_394_07,bnf_032 | bnf_394,Paloma | Rodrigo,Cambios,Sustitución,3,Cambios — Sustitución,True,ciudad
129,Llama 3.3 70B · 12 000 TPM,de ello,3,2,2,2,de ello,BnF_075_035 | utblac_wbs_1433_duplicated_1,bnf_075 | utblac_wbs,Arturo | Rodrigo,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",3,"Abreviaturas — Excepciones (desto/a/os, dello/a/os)",True,de ello
130,Llama 3.3 70B · 12 000 TPM,de estos,3,2,2,2,de estos,Mechoacan_Yurirapundaro_1 | AGI_INDIFERENTE_1529_N8_06,mechoacan_yurirapundaro | agi_indiferente,Adriana | Rodrigo,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",3,"Abreviaturas — Excepciones (desto/a/os, dello/a/os)",True,de estos
131,GPT OSS 120B · 8 000 TPM,del pueblo,3,2,2,2,del pueblo,BnF_116_02 | AGN_Indios_v009_exp003_fs4v-5_01,bnf_116 | agn_indios,Paco | Arturo,Cambios,Deleción,3,Cambios — Deleción | Puntuación — No sub-rule assigned,True,del pueblo
132,GPT OSS 120B · 8 000 TPM,dies,3,2,2,2,dies,BnF_113_22 | AGN_GralParte_v006_exp617_01,bnf_113 | agn_gralparte,Paloma | Rodrigo,Filológicas - mecánicas,Regularización de sibilantes,2,Filológicas - mecánicas — Regularización de sibilantes | Cambios — No sub-rule assigned | Cambios — Otros,True,dies
133,Llama 3.3 70B · 12 000 TPM,dijo,3,2,2,2,dijo,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10 | BnF_111_21,agn_hospjesus | bnf_111,Arturo | Flor,Cambios,Sustitución,2,Cambios — Sustitución | Puntuación — No sub-rule assigned,True,dijo
134,GPT OSS 120B · 8 000 TPM,doze,3,2,2,2,doze,AGI_CONTRATACION_1183_N8_78 | AGN_RealesCedDup_v030_exp874,agi_contratacion | agn_realesceddup,Adriana | Alba,Filológicas - mecánicas,Regularización de sibilantes,3,Filológicas - mecánicas — Regularización de sibilantes,True,doze
135,Llama 3.3 70B · 12 000 TPM,firmó,3,2,2,2,firmó,BnF_112_08 | BnF_113_25,bnf_112 | bnf_113,Paloma | Flor,Cambios,Deleción,2,Cambios — Deleción | Cambios — Sustitución,True,firmó
136,Llama 3.3 70B · 12 000 TPM,les,3,2,2,2,les,BnF_032_23 | BnF_266_10,bnf_032 | bnf_266,Arturo | Flor,Cambios,Sustitución,2,Cambios — Sustitución | Cambios — Inserción,True,les
137,GPT OSS 120B · 8 000 TPM,mando,3,2,2,2,mando,BnF_032_36 | BnF_112_02,bnf_032 | bnf_112,Paco | Arturo,Acentuación,No sub-rule assigned,3,Acentuación — No sub-rule assigned | Cambios — Inserción,True,mando
138,GPT OSS 120B · 8 000 TPM,nueba,3,2,2,2,nueba,AGI_PATRONATO_182_R3_04 | AGN_Mercedes_v003_exp520,agi_patronato | agn_mercedes,Paco | Alba,Filológicas - instrucciones,Regularización de labiales (b/v),3,Filológicas - instrucciones — Regularización de labiales (b/v),True,nueba
139,GPT OSS 120B · 8 000 TPM,posesion,3,2,2,2,posesion,BnF_112_02 | AGN_Mercedes_v003_exp520,bnf_112 | agn_mercedes,Arturo | Alba,Acentuación,No sub-rule assigned,3,Acentuación — No sub-rule assigned,True,posesion
